0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
2,0,4,6,6,6,5,0,4,6,6,6,5,0,3,2,0,4,6,6,6,5,0,4,6,6,6,5,0,3,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
2,0,4,6,6,6,5,0,4,6,6,6,5,0,7,8,0,4,6,6,6,5,0,4,6,6,6,5,0,3,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
0,9,9,9,10,0,11,9,9,9,10,0,3,0,0,0,0,2,0,11,9,9,9,10,0,11,9,9,9,0,0,0
0,1,1,1,8,0,7,1,1,1,8,0,3,0,0,0,0,2,0,7,1,1,1,8,0,7,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9,9,9,10,0,11,10,0,11,10,0,0,0,0,0,0,0,0,11,10,0,11,10,0,11,9,9,9,9,9,9
0,1,1,1,8,0,7,8,0,7,8,0,4,6,6,6,6,5,0,7,8,0,7,8,0,7,1,1,1,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
2,0,11,9,9,9,10,0,11,9,9,9,9,9,10,0,11,9,9,9,9,9,10,0,11,9,9,10,0,3,0,0
2,0,3,0,0,0,2,0,3,0,0,0,0,0,2,0,3,0,0,0,0,0,2,0,3,0,0,2,0,3,0,0
2,0,7,1,1,1,8,0,7,1,1,1,1,1,8,0,7,1,1,1,1,1,8,0,7,1,1,8,0,3,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0
